num,playerid,name,pos,ht,wt,from,Seasons,class,season4,htft,htin
45,326,Eddie Shokes ,,6-0 ,165 ,"Charleston, S.C. ",1939-41 ,Sr.,1941 ,6,0 
51,356,Cy Valasek ,G ,5-10 ,180 ,"Ford City, Pa. ",1939-41 ,Sr.,1941 ,5,10 
0,427,Wetmore ,,0-0 ,0 ,,1941 ,,1941 ,0,0 
0,379,John Winkin ,,0-0 ,0 ,,1940-41 ,,1941 ,0,0 
54,6,J. Clyde Allen ,C ,6-1 ,190 ,"Tarentum, Pa. ",1940-42 ,Sr.,1942 ,6,1 
0,85,Robert Clark ,,0-0 ,0 ,,1941-42 ,,1942 ,0,0 
0,441,Gotye ,,0-0 ,0 ,,1942 ,,1942 ,0,0 
0,439,Gross ,,0-0 ,0 ,,1942 ,,1942 ,0,0 
48,248,Bill McCahan ,G ,5-9 ,180 ,"Langhorne, Pa. ",1940-42 ,Sr.,1942 ,5,9 
0,442,Nauman ,,0-0 ,0 ,,1942 ,,1942 ,0,0 
0,443,Rauch ,,0-0 ,0 ,,1942 ,,1942 ,0,0 
44,333,Raymond Spuhler ,G ,5-11 ,165 ,"Johnstown, Pa. ",1940-42 ,Sr.,1942 ,5,11 
59,87,Jack Coleman ,C ,6-5 ,0 ,"Burgin, Ky. ",1943 ,,1943 ,6,5 
0,190,David Hubbell ,,0-0 ,0 ,,1941-43 ,,1943 ,0,0 
0,435,Jarvis ,,0-0 ,0 ,,1942-43 ,,1943 ,0,0 
0,430,Landesberg ,,0-0 ,0 ,,1943 ,,1943 ,0,0 
40,235,Cedric Loftis ,G ,6-0 ,0 ,"Durham, N.C. ",1942-43 ,,1943 ,6,0 
0,250,Arthur McGrane ,,0-0 ,0 ,,1942-43 ,,1943 ,0,0 
63,261,Alex Miller ,F ,6-1 ,0 ,"Millersburg, Ky. ",1942-43 ,,1943 ,6,1 
0,437,Osborn ,,0-0 ,0 ,,1943 ,,1943 ,0,0 
0,434,Stough ,,0-0 ,0 ,,1943 ,,1943 ,0,0 
49,15,Bill Bailey ,G ,5-11 ,150 ,"Knoxville, Tenn. ",1940-44 ,Sr.,1944 ,5,11 
67,16,George Balitsaris ,F ,6-0 ,190 ,"Pittsburgh, Pa. ",1944 ,Jr.,1944 ,6,0 
0,23,Curtis Beall ,G ,6-0 ,180 ,"Brewton, Ga. ",1944 ,Jr.,1944 ,6,0 
52,37,Gene Bledsoe ,G ,5-11 ,145 ,"Memphis, Tenn. ",1944 ,Jr.,1944 ,5,11 
0,453,Bruce ,,0-0 ,0 ,,1944 ,,1944 ,0,0 
63,454,Pat Curry ,F/G ,6-0 ,175 ,"St. Joseph, Mo. ",1944 ,Jr.,1944 ,6,0 
50,144,Bob Gantt ,C ,6-3 ,205 ,"Durham, N.C. (Durham) ",1942-44 ,Sr.,1944 ,6,3 
61,438,Samuel Gantt ,F/C ,6-4 ,0 ,"Durham, N.C. ",1943-44 ,,1944 ,6,4 
44,147,Richard Gilbert ,G/F ,6-2 ,165 ,"White Plains, N.Y. ",1943-44 ,Jr.,1944 ,6,2 
43,164,Harry Harner ,G ,6-0 ,175 ,"Staunton, Va. ",1944 ,Jr.,1944 ,6,0 
62,169,Howard Hartley ,F ,5-11 ,185 ,"Ravenswood, W.Va. ",1944 ,Jr.,1944 ,5,11 
40,187,Wright Hollingsworth ,F ,6-2 ,165 ,"Rome, Ga. ",1944 ,Jr.,1944 ,6,2 
59,195,Henry Hyde ,F/C ,6-3 ,185 ,"Chicago, Ill. ",1944 ,Jr.,1944 ,6,3 
48,432,Sidney Larkin ,F ,6-2 ,190 ,"New York, N.Y. ",1943-44 ,Jr.,1944 ,6,2 
56,259,Robert Metzler ,F/G ,5-11 ,185 ,"Lincoln Park, Pa. ",1943-44 ,Jr.,1944 ,5,11 
64,458,Kelly Mote ,G ,5-11 ,150 ,"Atlanta, Ga. ",1944 ,So.,1944 ,5,11 
0,452,Mott ,,0-0 ,0 ,,1944 ,,1944 ,0,0 
0,457,Shy ,,0-0 ,0 ,,1944 ,,1944 ,0,0 
41,353,Kenny Turner ,F ,6-3 ,170 ,"Durham, N.C. ",1943-44 ,Jr.,1944 ,6,3 
58,382,Bill Wright ,F/G ,6-2 ,185 ,"Knoxville, Tenn. ",1944 ,Jr.,1944 ,6,2 
58,466,Harry Bell ,F/G ,6-1 ,0 ,"Haverford, Pa. ",1945 ,,1945 ,6,1 
40,53,Dan Buckley ,G ,5-8 ,0 ,"New York City, N.Y. ",1945 ,,1945 ,5,8 
0,468,Carter ,,0-0 ,0 ,,1945 ,,1945 ,0,0 
65,72,Gordon Carver ,F ,6-1 ,185 ,"Durham, N.C. ",1943-45 ,Sr.,1945 ,6,1 
0,465,Condon ,,0-0 ,0 ,,1945 ,,1945 ,0,0 
